iter	Passed	Remaining
0	152	152155
1	153	76481
2	154	51203
3	154	38558
4	155	30977
5	156	25918
6	157	22339
7	158	19631
8	159	17548
9	161	15958
10	162	14566
11	162	13404
12	163	12422
13	164	11584
14	165	10850
15	166	10212
16	166	9648
17	167	9149
18	168	8697
19	169	8298
20	170	7932
21	170	7600
22	171	7294
23	172	7016
24	173	6767
25	174	6541
26	175	6323
27	176	6117
28	176	5925
29	177	5747
30	178	5579
31	179	5425
32	180	5277
33	180	5141
34	181	5012
35	182	4889
36	183	4772
37	184	4663
38	185	4559
39	185	4461
40	186	4369
41	187	4281
42	189	4209
43	190	4130
44	190	4051
45	191	3974
46	192	3900
47	193	3830
48	193	3764
49	194	3701
50	195	3640
51	196	3580
52	197	3522
53	197	3468
54	198	3415
55	199	3365
56	200	3316
57	201	3268
58	202	3231
59	203	3189
60	204	3147
61	205	3105
62	206	3067
63	207	3036
64	208	2998
65	209	2961
66	210	2926
67	210	2889
68	211	2856
69	212	2822
70	213	2790
71	214	2758
72	214	2728
73	215	2699
74	217	2676
75	218	2652
76	219	2625
77	219	2596
78	220	2569
79	221	2543
80	221	2517
81	222	2492
82	223	2464
83	223	2441
84	224	2418
85	225	2396
86	226	2374
87	227	2353
88	227	2332
89	228	2311
90	229	2292
91	230	2274
92	232	2262
93	233	2246
94	233	2227
95	234	2208
96	235	2191
97	236	2173
98	236	2156
99	237	2139
100	238	2123
101	239	2106
102	240	2090
103	240	2075
104	241	2060
105	242	2045
106	243	2030
107	244	2015
108	245	2002
109	245	1989
110	247	1982
111	248	1969
112	249	1955
113	249	1942
114	250	1930
115	251	1917
116	252	1904
117	253	1891
118	253	1879
119	254	1867
120	255	1855
121	256	1843
122	256	1832
123	257	1821
124	258	1810
125	259	1800
126	260	1788
127	261	1781
128	262	1771
129	263	1761
130	264	1751
131	264	1741
132	265	1731
133	266	1721
134	267	1712
135	268	1703
136	268	1693
137	269	1684
138	270	1674
139	271	1665
140	272	1657
141	272	1646
142	273	1638
143	274	1630
144	275	1622
145	276	1614
146	277	1609
147	278	1601
148	278	1593
149	279	1585
150	280	1577
151	281	1569
152	282	1562
153	283	1554
154	283	1547
155	284	1540
156	285	1532
157	286	1525
158	287	1518
159	287	1511
160	288	1504
161	289	1497
162	290	1490
163	291	1485
164	292	1481
165	293	1475
166	294	1468
167	295	1462
168	296	1455
169	296	1449
170	297	1443
171	298	1437
172	299	1430
173	300	1424
174	300	1418
175	301	1412
176	302	1406
177	303	1400
178	304	1394
179	304	1389
180	305	1384
181	306	1379
182	307	1374
183	308	1368
184	309	1363
185	310	1358
186	311	1355
187	312	1350
188	313	1345
189	314	1339
190	315	1334
191	315	1329
192	316	1324
193	317	1319
194	318	1314
195	319	1309
196	320	1304
197	323	1310
198	324	1305
199	325	1300
200	325	1295
201	326	1290
202	327	1285
203	328	1280
204	329	1276
205	329	1271
206	330	1267
207	331	1262
208	332	1258
209	333	1253
210	333	1248
211	334	1245
212	335	1241
213	337	1238
214	338	1234
215	338	1230
216	339	1226
217	340	1221
218	341	1217
219	342	1212
220	343	1209
221	343	1204
222	344	1200
223	345	1196
224	346	1192
225	346	1188
226	347	1184
227	348	1180
228	349	1176
229	350	1173
230	351	1170
231	352	1166
232	353	1162
233	353	1158
234	354	1154
235	355	1151
236	356	1147
237	357	1143
238	357	1139
239	358	1135
240	359	1132
241	360	1128
242	361	1124
243	361	1121
244	362	1117
245	363	1114
246	364	1111
247	365	1107
248	366	1105
249	367	1103
250	368	1099
251	369	1095
252	369	1092
253	370	1088
254	371	1085
255	372	1081
256	373	1078
257	373	1075
258	374	1071
259	375	1068
260	376	1065
261	377	1062
262	377	1058
263	378	1055
264	379	1052
265	380	1049
266	381	1048
267	382	1045
268	383	1042
269	384	1038
270	385	1035
271	385	1032
